"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"ACOXL",80.4372003802489,16.8174750787034,15.9029651645282,11.2255560117907,40.9158915757906,4.68806450889533,14.9212406769768,4.68659649579363,8.54723869507169,4.6321083935991
"ACP1",819.386947873469,696.441320906304,763.342327897352,704.14851346687,732.679918915321,875.730450261648,638.629100974605,560.516940896918,602.580328002554,739.284499618416
"ACP2",306.733857450016,312.607183815898,331.841873099821,345.951226181549,381.564477253303,282.221483435499,349.157031841256,338.3722669963,311.974212370117,304.792732298821
"ACP3",2234.00917856078,479.792671363007,1096.24439867481,477.596383047095,705.085480410718,180.95929004336,997.733626600513,737.670288437917,608.990757023858,350.187394556092
"ACP5",492.275666327123,118.711588790847,339.263256843267,204.101018396194,285.459708668307,182.834515846918,441.668724038512,208.084884413237,418.814696058513,172.314432241886
"ACP6",901.969140263858,638.074789750804,744.258769699918,717.415079662623,727.922257104182,596.321805531486,803.757497799815,616.756098846442,601.51192316567,571.602175770128
"ACP7",472.970738235864,14.8389485988559,160.089849322917,11.2255560117907,166.518163389846,12.1889677231279,297.43006416107,17.8090666840158,161.329130369478,5.55853007231892
"ACRBP",15.0149440709798,25.7208442380169,32.8661280066915,30.6151527594291,14.2729854334153,39.3797418747208,24.8687344616279,33.7434947697141,23.5049064114472,25.9398070041549
"ACSBG1",654.222563092691,2453.37283501084,737.897583634107,2457.37626149018,690.812494977302,1846.15980360298,963.912147732699,2132.4014055861,478.645366924015,1552.68273353442
"ACSF2",422.563425997574,310.62865733605,207.798744816501,110.214549933945,424.383433553549,140.64193526686,304.393309810326,251.201572174539,401.72021866837,253.83953996923
"ACSF3",353.923681673095,283.91854985811,373.189582527594,255.126272995243,387.27367142667,277.533418926604,419.78423771228,335.560309098824,311.974212370117,364.083719736889
"ACSL1",1296.64767012961,1614.47760755552,1004.00720072054,1577.70087220258,1020.04269230808,1252.65083677683,2644.04384796028,1138.84294847785,1694.49007129796,1164.51205015081
"ACSL3",1292.35768610933,837.905964215396,1169.39803843164,868.449833275807,1150.40262593328,849.477289011834,1073.33457936386,1146.34150287112,951.94870966361,763.371463265131
"ACSL4",578.075346732722,459.018143324609,641.419594969302,612.303055188583,582.337805683346,735.088514994788,558.054401318931,609.257544453172,576.938611917339,751.327981441773
"ACSL5",170.526864806128,166.196224307186,396.513931435569,223.490615143833,307.344952999544,199.711548078941,244.708347102419,247.452294977904,209.407348029256,132.478300056934
"ACSM1",407.548481926595,617.300261712405,464.366582804222,510.252545990486,559.501028989881,217.526193212743,541.143661885024,703.926793668203,613.264376371394,266.809443471308
"ACSM2B",12.8699520608398,7.91410591938981,8.48158142108169,3.06151527594291,13.3214530711876,5.6256774106744,11.9369925415814,11.2478315899047,7.47883385818773,1.85284335743964
"ACSM5",203.774240963297,58.3665311554999,161.150047000552,73.47636662263,155.099775043113,38.4421289729417,147.222908012837,92.7946106167139,129.276985262959,24.0869636467153
"ACSS1",765.76214761997,635.107000031032,614.914653028422,522.498607094257,721.261530568588,508.186192764254,726.167046279536,717.986583155584,561.980944200964,509.531923295901
"ACSS2",1365.28741445409,1534.3472851217,1258.45464335299,1482.79389864835,1506.27572940643,1053.87690159967,1591.59900554419,1641.24609282693,2112.23636251959,1232.14083269736
"ACSS3",276.703969308056,368.005925251626,309.577721869481,453.104260839551,331.133262055236,181.896902945139,275.545577834838,344.933502090411,349.368381661055,213.076986105558
"ACTA1",12.8699520608398,0,4.24079071054084,4.08202036792389,17.1275825200984,18.7522580355813,6.96324564925582,3.7492771966349,7.47883385818773,0.926421678719819
