"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACOX3",686.902145312581,0.889091565401252,0.192995166726017,1.78020395899712e-06,1.00634177570682e-05
"ACOXL",20.2774336981398,-1.5613928626312,0.684211012576155,0.00276100860433772,0.00730830861826045
"ACP1",713.274034881346,0.00791757787774715,0.144406069611948,0.956714251773484,0.968734240364981
"ACP2",326.521634474258,-0.0849433508884291,0.118126821122913,0.465469825250104,0.562515742257059
"ACP3",786.826946871815,-1.19826211292597,0.377581486932983,0.000338097789219103,0.00114669984237455
"ACP5",286.352849162481,-1.11769097932948,0.202465364498965,1.02514072724343e-08,8.62016857353335e-08
"ACP6",691.958953759493,-0.259084237472614,0.130793694568384,0.0435470275930836,0.0792212983939317
"ACP7",131.995901456928,-4.28435832520633,0.393043189425961,7.79385487050817e-29,6.74321266982692e-27
"ACRBP",26.5926739030198,0.422001130396606,0.309391370994557,0.131436369314374,0.201428489919137
"ACSBG1",1396.74831955853,1.53175977168709,0.197692122465964,1.77109125235921e-15,4.21290574179785e-14
"ACSF2",282.738538752694,-0.646400804703978,0.287003249348281,0.0139539488152798,0.0299255402903631
"ACSF3",336.236765632542,-0.273530064594965,0.142580379807811,0.0501026751560036,0.0893515425384928
"ACSL1",1440.74157975801,-0.162285645595905,0.243406499645344,0.477168382510766,0.573629066293081
"ACSL3",1010.2987692141,-0.324764530057873,0.139033408229055,0.0171049379718259,0.0356226731802629
"ACSL4",610.382100002457,0.10521802450331,0.144494430257981,0.458367716012116,0.555530466772908
"ACSL5",229.783042693771,-0.41253120043258,0.241756897068896,0.0692382502844693,0.117709026923607
"ACSM1",490.163937003226,-0.135958260358485,0.274008096871857,0.588406503611215,0.674242694052449
"ACSM2B",8.37907865062298,-0.594930388973962,0.510775625802152,0.126600453969583,0.195247336150127
"ACSM5",108.369055729726,-1.3816843035348,0.314948465745464,2.32824567240602e-06,1.29022091422186e-05
"ACSS1",628.339662803851,-0.219716752855837,0.146102481641362,0.124101434699872,0.192088952245264
"ACSS2",1477.82581661713,-0.164193891633284,0.171151715280147,0.32230258946922,0.421162412388519
