"","logFC","logCPM","F","PValue","FDR"
"LOC123000429",2.96077305740492,4.89168944429439,134.587634590678,5.428290509019e-08,3.97574663202229e-06
"LOC113257582",-3.21411087375445,8.24896185272688,134.054246137268,5.54548791055429e-08,4.02758899574081e-06
"RELT",-2.31680494803346,2.57385187402226,134.290178378676,5.5522359726653e-08,4.02758899574081e-06
"LOC130543919",3.54727344754931,2.62308024017718,135.605435860351,5.57142977433455e-08,4.02758899574081e-06
"LOC113254331",3.54658982539943,1.95030793714963,136.180592733048,5.69873454245211e-08,4.0907159688488e-06
"LOC125282219",3.5535549839706,1.93725213419511,135.940163658714,5.7516291195139e-08,4.0907159688488e-06
"LOC113247882",-4.95507210856,4.1531331023425,134.168611997215,5.75414200021552e-08,4.0907159688488e-06
"FAM3C",1.1299273654272,6.32056001683611,133.174078372481,5.75674143768769e-08,4.0907159688488e-06
"WIF1",-3.15176081394176,4.3991222157398,132.952664514356,5.8253128326902e-08,4.09654225682262e-06
"COL1A1",-5.40775733828417,13.0290270098751,132.886084660903,5.82782393479122e-08,4.09654225682262e-06
"STEAP1",-4.58179242756198,3.1235115139632,135.2977469595,5.8385355837103e-08,4.09654225682262e-06
"LOC130544070",3.53784660833455,1.92772874428691,134.596204486548,6.08313507539004e-08,4.2388872228352e-06
"NPPC",-4.29299515680903,1.51032519741211,122.832114222112,6.09217877406101e-08,4.2388872228352e-06
"OMD",-3.19068081278636,4.28302928599537,131.736433544789,6.13991142693932e-08,4.25167602774211e-06
"ABHD18",1.72612018049348,4.92379117221248,131.569054034851,6.16924703062144e-08,4.25167602774211e-06
"KRT82",-8.07099235215388,7.21270843818153,132.473131502543,6.18694098294109e-08,4.25167602774211e-06
"SEZ6L2",3.77307364813378,3.78936759896431,131.431991322072,6.28850854968378e-08,4.3037624701299e-06
"STK17A",-1.4309025236063,5.86196855046784,130.379527455886,6.49219239672602e-08,4.4250253401195e-06
"RBAK",1.42863805997776,5.87255711192054,130.165472659394,6.55316174404008e-08,4.44842471397257e-06
"SYTL2",-1.6639815447209,5.68297468073763,129.725856027976,6.68102206718286e-08,4.51685779351768e-06
"GRIA3",-2.57397104229537,2.88953144321134,129.712899376907,6.74581783989846e-08,4.54227468179292e-06
"GPRC5D",-11.7282343871891,6.94138973223058,70.980027410911,6.79322980660565e-08,4.55139029532782e-06
"USP45",1.39175429465582,4.87073285515328,129.276649273143,6.81386654190044e-08,4.55139029532782e-06
"SPINK5",2.64482356196776,8.92886152225548,128.717308649728,6.98118023404309e-08,4.64457086566875e-06
"COL5A1",-2.80892882443933,8.98587950110337,128.583335244847,7.02243403371434e-08,4.6534772194046e-06
"IVD",-1.52925058068583,4.96629359692863,128.247044164009,7.12915749568854e-08,4.70552573203569e-06
"GLO1",-1.24981261815346,6.54147085180263,128.123500164331,7.16624052746265e-08,4.71137994362593e-06
"LY6G6F",-8.1411209404255,5.62745337211614,126.339426934724,7.21514300686287e-08,4.72492835574914e-06
"SLC35G1",-2.79710474285422,4.73941734681509,127.334271851013,7.42875057342412e-08,4.84580882131286e-06
"KCNS2",-5.32913299526492,-0.0228175551823882,79.6221939958146,7.57388293179637e-08,4.9212556839715e-06
"PRSS53",-4.2758799164548,5.31881152210288,126.564854988594,7.70047366779068e-08,4.98411665807894e-06
"TTC21A",1.77142094111972,3.75360587203169,126.237549465989,7.80540911597458e-08,5.02226178803111e-06
