"","logFC","logCPM","F","PValue","FDR"
"LOC113267499",-5.23203065261296,2.8801293103832,111.126528674912,1.57994860597675e-07,7.85225052714454e-06
"TPD52L1",-3.40333068970146,2.51838000936116,112.235021270633,1.58922925350405e-07,7.87493747901015e-06
"MRPL12",-1.05613565259751,5.48736526385998,110.832171474017,1.61906229309175e-07,7.9650479817231e-06
"KCTD17",-2.49121677173214,3.44542069545006,110.403859352955,1.66047207858693e-07,8.08039629660731e-06
"LOC123002003",-4.1658946148936,3.13404245450742,111.370239741002,1.67029534105143e-07,8.08039629660731e-06
"CNN2",-1.10479844819345,7.87822620678539,110.169737223787,1.67401664953607e-07,8.08039629660731e-06
"LOC113253071",-3.90732450439851,-0.361202678474127,65.2673341870454,1.67760716076998e-07,8.08039629660731e-06
"LOC125283504",-6.48978655267542,0.613765465460966,90.9337675705472,1.6967918025621e-07,8.11883275386377e-06
"LOC130544268",-6.48978655267542,0.613765465460966,90.9337675705472,1.6967918025621e-07,8.11883275386377e-06
"ACP7",-4.33575821493468,3.03558499277278,110.996997754672,1.74190388208921e-07,8.26930202519479e-06
"ANP32A",-1.21362856231675,6.04896344964498,109.318902866878,1.74804695783805e-07,8.26930202519479e-06
"LMNB1",-1.79076360118259,5.6352932959712,109.01929774332,1.77536767614914e-07,8.32777101798158e-06
"DLX2",-4.7754087688041,1.67954774978563,95.7557532625619,1.82722635910542e-07,8.54433446254833e-06
"C1QTNF6",-3.1116032708525,5.8905530223811,108.019984416993,1.86932048723672e-07,8.6470312510709e-06
"LOXL2",-2.36281046097497,5.99600710265557,107.551302360084,1.91470521361117e-07,8.82954553233128e-06
"LOC113245676",-1.92281127721144,4.74818844432219,107.05084532848,1.96559620979501e-07,8.96854563530915e-06
"LOC113255978",-10.4820827842358,5.29540039977455,62.4822727714691,1.97576151297778e-07,8.98998406136677e-06
"PMEPA1",-2.20624657703791,5.21607537500145,106.742807558857,1.99723206542909e-07,9.06298322298923e-06
"ZNF608",-2.30155683035871,4.68034582348528,106.621405476985,2.010728888639e-07,9.09887421105786e-06
"ADAMTS8",-4.34962258876236,3.14419742480717,107.873981049311,2.02243478746609e-07,9.09887421105786e-06
"RANGRF",-2.74762457599308,2.04537423715879,107.222362047431,2.03356431837888e-07,9.09887421105786e-06
"EPHB2",-3.24235059287962,3.5966714187486,106.482947288778,2.03752864763564e-07,9.09887421105786e-06
"DUSP10",-2.16184258985061,3.34489875123006,106.377469325006,2.04099067296685e-07,9.09887421105786e-06
"PDGFD",-1.78606692856603,4.09937212784935,106.309509836214,2.04427347551503e-07,9.09887421105786e-06
"DLGAP5",-1.73946638785052,3.166529867459,106.298949184063,2.04873148293775e-07,9.09887421105786e-06
"LOC113265458",-11.7904147508955,8.87948170009023,99.3317939915091,2.06609101071894e-07,9.1516323045081e-06
"GABRP",-3.00638704353191,4.19668286521742,105.596892856822,2.1249178973564e-07,9.38730263702502e-06
"ELOVL6",-3.29256555938993,5.39889152582424,105.152918606886,2.17201593086311e-07,9.54486684986397e-06
"OLR1",-6.10363956973913,0.672893684833135,68.2097871132042,2.23377742962459e-07,9.73938623950417e-06
"NXPH2",-4.01221083550252,1.19101822454198,96.9147709575105,2.23976167909497e-07,9.74004694771015e-06
"SRPX",-2.435547819361,3.86043986977922,104.442164975259,2.25826639006224e-07,9.79501050588294e-06
"LOC130544514",-4.83982329525285,2.38823663016409,102.905966441153,2.28769419223841e-07,9.8459292052034e-06
"MTHFS",-2.38651266287562,2.27742423262678,104.128151335752,2.33110248829814e-07,9.98130268002326e-06
"SLC22A14",-5.73061503316305,0.332528012158891,67.7236932985802,2.35151919765487e-07,9.98382558358973e-06
"MATN3",-4.55177175997492,1.74619441277045,97.1912131128819,2.35313751061221e-07,9.98382558358973e-06
"TMEM120B",-1.59354509753666,4.00450416531104,103.525715849413,2.36895261346733e-07,1.00149720739977e-05
"TUBB",-1.44735542004467,8.33417669372187,103.190194215342,2.40954452257255e-07,1.016085454102e-05
"CHPF",-1.51110515634197,4.50258835389591,102.916207877532,2.44646510646725e-07,1.02389776473425e-05
"KRT40",-8.12663905272536,3.3003272140663,59.5733167521132,2.46782459077658e-07,1.03025507103445e-05
"COL8A2",-1.87085124399931,5.16321457927367,102.284081575242,2.53091960159869e-07,1.0487301842952e-05
"PPA2",-1.32246251086075,5.24656616695699,102.18568001181,2.54437833246768e-07,1.05169737064054e-05
"CPXM2",-2.04780129850771,5.02173279608278,102.115598781272,2.55464387151131e-07,1.0533332842066e-05
"RRM2",-1.76164497765317,5.20574804032725,102.012270348485,2.56849038357722e-07,1.0564340126935e-05
"LOC113253476",-3.27645608340689,0.724961756657601,97.5941648523249,2.5868810515031e-07,1.05806596437646e-05
"PDCD4",-1.64633899619786,7.31593301697073,101.850208972234,2.59062603360109e-07,1.05806596437646e-05
"LOC125281508",-11.7995145180325,5.49719422477543,104.121614272742,2.65903709373232e-07,1.07774903952029e-05
"CAPN6",-3.30339243528653,3.06200252021049,101.424490766145,2.6955568857122e-07,1.08570435903181e-05
"CEBPB",-1.87969569675076,6.50928646452653,101.105057377821,2.69816940534284e-07,1.08570435903181e-05
"SLCO4A1",-1.94478511897148,4.11097633096322,100.73706931684,2.75606289961903e-07,1.10386118455562e-05
"CDK2AP2",-1.7813667569093,4.3221177844677,100.693557690322,2.76175862190511e-07,1.10386118455562e-05
"CHST11",-1.96948495123237,2.63377800775781,100.783437895928,2.763123391486e-07,1.10386118455562e-05
"CUNH12orf56",-4.2753744367047,0.0271981897075196,61.932969796139,2.82777650770758e-07,1.11621635137576e-05
"COL14A1",-2.23872632431826,7.19453286345914,100.199101802086,2.83594638300029e-07,1.11621635137576e-05
"AP2M1",-0.973863882819805,7.47617024230988,100.177624272886,2.83929805392369e-07,1.11621635137576e-05
"PHPT1",-1.41567666132337,4.70549698078972,100.172973210264,2.84084046550512e-07,1.11621635137576e-05
"MSI1",-2.70429457844536,2.48342378002888,100.328492177991,2.86802397898271e-07,1.12425193485991e-05
"TGFB3",-1.81963114779228,4.22299926170015,99.0615799269902,3.02352123727331e-07,1.17966778367353e-05
"FADS6",-2.45381062140556,3.73289095211279,98.9254589585849,3.05103071600492e-07,1.18486423085038e-05
"GJA1",-2.77831056358439,10.0697377088859,98.6441891662324,3.09196170447937e-07,1.19518411687634e-05
"LOC113243958",-6.67778346718618,3.97306406286647,94.817532962326,3.17065873387727e-07,1.21437683938111e-05
"LOC113257653",-1.42723735018971,8.64500848371296,97.9793455965815,3.20957178980246e-07,1.22446968390862e-05
"LOC113249302",-12.3447454414163,7.43558157384787,57.3423132962923,3.21167567849558e-07,1.22446968390862e-05
"FZD2",-2.18937749327103,3.81533943080723,97.8328677485288,3.24164611028316e-07,1.23027837262769e-05
"LOC125283414",-11.9198182046808,7.66412397195524,63.8347668568234,3.33753445319415e-07,1.25569794456796e-05
"LOC113262526",-1.83095570211532,5.39036285349389,97.2453343503492,3.3462218416237e-07,1.25569794456796e-05
"PSD3",-1.34036949609887,5.66603418787556,97.1363701188647,3.36654444040571e-07,1.26034172278327e-05
"LOC113245194",-10.3399426298052,2.33192458745885,210.715300478212,3.37925557243822e-07,1.26034172278327e-05
"KCNK6",-1.34767221743766,5.52643463353215,96.8420164209039,3.42370047083448e-07,1.27049720361033e-05
"SORL1",-1.88221796838269,5.75038232879321,96.7086979058478,3.44980832858879e-07,1.27452100175009e-05
"BHMT2",-5.01981447993744,0.493228858256003,57.9099738021138,3.4754518946538e-07,1.28116051189456e-05
"FOXE1",-3.81912982952457,2.12219640664084,98.218855609463,3.49410965719677e-07,1.2816145379272e-05
"ELOVL3",-3.92898724316792,5.03193738955699,96.5172852067449,3.4947474348077e-07,1.2816145379272e-05
"TFAP2E",-4.17687439945779,-0.058411022526906,60.0980086353067,3.50134775419292e-07,1.2816145379272e-05
"ENDOG",-1.88740790440772,3.71928155095421,96.1459778140285,3.56691105920584e-07,1.29881359475668e-05
"WDR6",-1.16872371947329,6.51680057503182,96.0511343977104,3.58125211963725e-07,1.29881359475668e-05
"SORCS2",-2.01519514430713,4.1517725061622,95.6548213832829,3.66746511163474e-07,1.32560605842399e-05
"B4GALNT4",-3.15321017449461,4.07274007420417,95.3672616294673,3.73656734402449e-07,1.34186963608312e-05
"IDH2",-1.15002237725749,6.20516379350355,95.1600073234258,3.76979293338766e-07,1.35089639902662e-05
"RPN2",-1.03048232467813,6.71005725038092,95.0171306422318,3.8010651784583e-07,1.35918602601874e-05
"TMEM254",-1.42309476855094,6.06801717981684,94.8598632258328,3.83588823913196e-07,1.36870721592446e-05
"ADAM12",-2.61725462393737,2.41910349829238,94.7881529761061,3.92000925129537e-07,1.39574060740685e-05
"EFNB1",-1.17745058723827,6.59213575583781,94.2215035810889,3.98093053947905e-07,1.41141314392273e-05
"FREM1",-1.89875637104191,4.05186787904849,94.025325944152,4.03090886694924e-07,1.42610481290647e-05
"BRINP1",-3.647158889856,1.76927062686959,94.9302788449242,4.16184287634212e-07,1.46312871983236e-05
"PRND",-2.92063975484511,3.64184256076802,93.261313954982,4.22881069668141e-07,1.48354852571182e-05
"DMRTB1",-3.86952900711783,0.998234750417482,85.313833475194,4.32477258524207e-07,1.51403306920246e-05
"GDF11",-2.31408568990606,3.40644581051878,92.7941969875573,4.34187554041725e-07,1.51684057843991e-05
"TGFB1",-1.33296257524037,4.23558318040203,92.4769690712325,4.41382612435393e-07,1.53555171772055e-05
"VSIG8",-8.11952233372365,7.38547097910012,92.5730778709589,4.51008321300099e-07,1.56577712211858e-05
"BMP4",-1.60866957770494,4.38936695854232,91.6552101075963,4.63486721942982e-07,1.59920383964966e-05
"LOC125281462",-4.74019796138623,2.01592374781252,87.4288548532041,4.6738111019033e-07,1.60502843320151e-05
"ACTC1",-3.19965338893511,3.26973355556289,91.6551755028222,4.67638132232997e-07,1.60502843320151e-05
"SEMA3B",-2.1405700011462,6.01208392183268,91.337681824728,4.7220728163215e-07,1.61585848278182e-05
"WNT5A",-2.85191749567254,4.75165785926945,90.6901683576198,4.91307648595389e-07,1.66373095238637e-05
